client,vendor_account_number,country_key,name,name_2,name_3,name_4,city,district,po_box,po_box_postal_code,postal_code,region,sort_field,matchcode_search_term_1,matchcode_search_term_2,matchcode_search_term_3,title_anred,train_station,international_location_number_1,international_location_number_2,authorization_group,industry_key,international_location_number_check_digit,data_communication_line_num,data_medium_exchange_indicator,data_medium_exchange_instruction_key,record_created_on,object_created_by,isr_susbcriber_num,group_key,vendor_account_group,competitor,master_record_central_deletion_flag,physical_inventory_blocking_indicator,centrally_imposed_purchasing_block,language_text,vat_liability,one_time_account_indicator,alternative_payee_allowed_indicator,company_id,natural_person,function_that_will_be_blocked,birthdate_of_person_withholding_tax,last_review,vendor_qm_system,one_time_account_reference_account_group,po_box_city,plant,vendor_subrange_indicator,plant_level_indicator,factory_calendar_key,data_transfer_status,tax_jurisdiction,payment_block,standard_carrier_access_code,forwarding_agent_freight_group,transportation_zone,alternative_payee_indicator,service_agent_procedure_group,profession,shipment_details,external_manufacturer_code_name,uniform_resource_locator,representative_name,business_type,industry_type,change_authorization_status,changes_confirmation_status,last_change_confirmation_time,master_record_central_deletion_block,certification_validity_date,vendor_proof_of_delivery_relevant_indicator,master_record_account_number,carrier_confirmation_indicator,micro_company_indicator,liability_terms,business_purpose_completed_flag,industry_main_type,company_size,declaration_regimen_pis_or_cofins,currency,agency_location_code,payment_office,processor_group,subledger_acct_preprocessing_procedure,name_1_pson1,name_2_pson2,name_3_pson3,first_name,title_psotl,transportation_chain,staging_time_in_days,schedule_procedure,cross_docking_for_collective_numbering,global_dnb_code,global_dnb_name,is_quarantined,start_at,end_at
100,M021,MX,SURAMA PAOLA AQUINO PICAZO, , , ,CUAUTITLAN IZCALLI, , , ,54710,MEX,M021,SURAMA PAOLA AQUINO PICAZ, ,CUAUTITLAN IZCALLI, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, , ,0005,M021, , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,547, , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,M022,MX,FERROCARRIL MEXICANO,SA DE CV USD, , ,MEXICO CITY, , , ,11700,MEX,M022,FERROCARRIL MEXICANO,SA DE CV USD,MEXICO CITY, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, , ,0005,M022, , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,117, , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,PLUSRITE,US,PLUSRITE, , , , , , , , , ,PLUSRITE,PLUSRITE, , , , ,0,0, , ,0, , , ,2024-02-07 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,PNEUMATSCE,US,PNEUMATIC SCALE, , , , , , , , , ,PNEUMATIC,PNEUMATIC SCALE, , , , ,0,0, , ,0, , , ,2024-02-08 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,SPELLMAN,US,SPELLMAN, , , , , , , , , ,SPELLMAN,SPELLMAN, , , , ,0,0, , ,0, , , ,2024-02-07 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0001000000,US,MARKEM-IMAJE CORP, , , ,KEENE, ,2100,03431-7100,03431-4307,NH,020163170,MARKEM-IMAJE CORP, ,KEENE, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,STRT CORE,ZKRD,0060000014, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,2008-09-02 05:00:00.000000, , , , ,X,X, ,X,3000501100, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:39.000000,""
100,0001000003,US,EARL L  HENDERSON TRUCKING CO, , , ,SALEM, , , ,62881-5833,IL,371080605,EARL L  HENDERSON TRUCKIN, ,SALEM, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD, , , , ,E, , , , , , ,2010-04-01 05:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,1412126200, ,HEDN, , , , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:19.000000,2023-11-22 09:31:18.000000
100,0001000004,US,RAMIRO MAGDALENO, , , ,YUMA,YUMA, , ,85364-7105,AZ,942167660,RAMIRO MAGDALENO, ,YUMA, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060000834, , , ,E, , , , , , ,2012-10-05 05:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,0302703500, , , ,853, , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:24.000000,2023-11-22 09:31:23.000000
100,0001000014,US,GRAYBAR ELECTRIC COMPANY INC,LOCK BOX 504490, , ,SAINT LOUIS, , , ,63101-2506,MO,130794380,GRAYBAR ELECTRIC COMPANY,LOCK BOX 504490,SAINT LOUIS, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS EXIT,ZKRD,0060000444, , , ,E, , , , , , ,2010-09-28 05:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,2651012700, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:25.000000,""
100,0001000026,US,WERNER-TODD PUMP COMPANY INC, , , ,INDIANAPOLIS, , , ,46268-1501,IN,310937219,WERNER-TODD PUMP COMPANY, ,INDIANAPOLIS, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001672, , , ,E, , , , , , ,2014-05-19 05:00:00.000000,2010-03-05 06:00:00.000000, , , , ,X,X, ,X,1509706700, , , , , , , , , , , ,EP_MROC_MRO_SERVICE VEND, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:25.000000,""
100,0001000027,US,ENTERPRISE FOOD BROKERS INC, , , ,CLEVELAND,CUYAHOGA, , ,44109-6013,OH,341357599,ENTERPRISE FOOD BROKERS I, ,CLEVELAND, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001673, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,3603505100, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:30.000000,""
100,0001000056,US,SUMMIT SALES INC, , , ,CYNTHIANA,HARRISON, , ,41031-6872,KY,611163466,SUMMIT SALES INC, ,CYNTHIANA, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001697, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,1809701500, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:27.000000,""
100,0001000060,US,SUNSHINE MARKET INC, , , ,WILKES BARRE,LUZERNE, , ,18702-7004,PA,231637148,SUNSHINE MARKET INC, ,WILKES BARRE, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001701, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,3907941900, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:19.000000,""
100,0001000071,US,HUNTER ASSOCIATES LABORATORY,INCORPORATED, , ,RESTON, , , ,20190-5264,VA,540635023,HUNTER ASSOCIATES LABORAT,INCORPORATED,RESTON, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,STRT NICHE,ZKRD,0060000664, , , ,E, , , , , , ,2010-04-01 05:00:00.000000,2014-12-15 06:00:00.000000, , , , ,X,X, ,X,4705900000, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:27.000000,""
100,0001000077,US,SID BOEDEKER SAFETY SHOE,SERVICE INC, , ,LENEXA, , , ,66215-1144,KS,430837156,SID BOEDEKER SAFETY SHOE,SERVICE INC,LENEXA, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001712, , , ,E, , , , , , ,2010-04-01 05:00:00.000000,2011-08-04 05:00:00.000000, , , , ,X,X, ,X,1709109000, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:08.000000,""
100,0001000084,US,PATS FOOD CENTER INC, , , ,FREELAND,SAGINAW, , ,48623-8705,MI,381679674,PATS FOOD CENTER INC, ,FREELAND, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001719, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,2314535470, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:34.000000,""
100,0001000088,US,DINOS TRUCKING INC, , , ,SAINT LOUIS,SAINT LOUIS,771190,63177-2190,63123-6222,MO,431444163,DINOS TRUCKING INC, ,SAINT LOUIS, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060009357, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,2008-09-30 05:00:00.000000, , , , ,X,X, ,X,2618900000, , , ,631, , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2024-01-25 08:53:48.000000,""
100,0001000091,US,COMMERCIAL TRANSPORT INC, , , ,BELLEVILLE,SAINT CLAIR,469, ,62222,IL,370225015,COMMERCIAL TRANSPORT INC, ,BELLEVILLE, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,1416301400, , , , , , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:34.000000,""
100,0001000093,US,UNIVERSITY OF CALIFORNIA, , , ,MANKATO,BLUE EARTH, , ,56001,MN,NO TAX ID,UNIVERSITY OF CALIFORNIA, ,MANKATO, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD, , , , ,E, , , , , , ,2010-07-31 05:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,2401306100, , , , , , , , , , , ,NEP_SGA_Charities, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:18.000000,""
100,0001000096,US,ASAP SERVICES INC, , , ,SPRINGDALE, ,1683,72765-1683,72762-3024,AR,710698881,ASAP SERVICES INC, ,SPRINGDALE, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001726, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,0414305600, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:12.000000,""
100,0001000098,US,MADISON WHOLESALE LLC, , , ,JACKSON,MADISON, , ,38305-6516,TN,621280374,MADISON WHOLESALE LLC, ,JACKSON, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001728, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,4311303600, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:37.000000,""
100,0001000100,US,THE DANNON COMPANY INC, , , ,WHITE PLAINS, ,7247-8978,19170-8978,10603,NY,112574007,THE DANNON COMPANY INC, ,WHITE PLAINS, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001730, , , ,E, , , , , , ,2017-09-25 05:00:00.000000,2017-10-03 05:00:00.000000, , ,PHILADELPHIA, ,X,X, ,X,3311931700, , , , , , , , , , , ,EP_Dairy_Milkfat, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:09.000000,""
100,0001000103,US,PHOENIX ELEMENTARY SCHOOL,FOOD SERVICES DIRECTOR, , ,PHOENIX,MARICOPA, , ,85006-2133,AZ,NO TAX ID,PHOENIX ELEMENTARY SCHOOL,FOOD SERVICES DIRECTOR,PHOENIX, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,0301302100, , , , , , , , , , , ,NEP__Commodity Cheese, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:18.000000,""
100,0001000112,US,ED OWENS TREE SERVICE, , , ,BARTLETT,SHELBY, , ,38134-3770,TN,402060971,ED OWENS TREE SERVICE, ,BARTLETT, , ,0,0, ,0005,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001738, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,4315712300, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:42.000000,""
100,0001000118,US,KAMAN CORPORATION, , , ,BLOOMFIELD, , , ,06002-5302,CT,NO TAX ID,KAMAN CORPORATION, ,BLOOMFIELD, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,NS EXIT,ZKRD,0060001376, , , ,E, , , , , , ,2011-07-14 05:00:00.000000,2019-02-21 06:00:00.000000, , , , ,X,X, ,X,0700300000, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:27.000000,""
100,0001000125,US,ST MARY MEDICAL CENTER,ST MARY PHYSICIAN SERVICES, , ,WALLA WALLA,WALLA WALLA,2277, ,99362-2846,WA,910564994,ST MARY MEDICAL CENTER,ST MARY PHYSICIAN SERVICE,WALLA WALLA, , ,0,0, , ,0,X, , ,2008-02-10 06:00:00.000000,YDR0068, ,NS TRANSAC,ZKRD,0060001749, , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , ,X,X, ,X,4807107900, , , , , , , , , , , ,SCM Heavy Vendor, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:20.000000,""
100,0001000137,US,CONE DRIVE OPERATIONS INC, , , ,TRAVERSE CITY,GRAND TRAVERSE,272, ,49685,MI,050425787,CONE DRIVE OPERATIONS INC, ,TRAVERSE CITY, , ,0,0, , ,0, , , ,2008-02-10 06:00:00.000000,YDR0068, ,STRT NICHE,ZKRD,0060001759, , , ,E, , , , , , ,2010-04-01 05:00:00.000000,2011-07-07 05:00:00.000000, , , , ,X,X, ,X,2305517700, , , , , , , , , , , ,EP_MROC_MRO, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , ,"","",false,2023-10-05 07:53:20.000000,""
